Landcover,expShannon
Grassland,608.9163705
Grassland,661.3778103
Grassland,415.1352673
Grassland,518.6033269
Grassland,726.9605146
Grassland,870.6343999
Grassland,509.523797
Grassland,523.3024467
Grassland,395.2231033
Grassland,727.5665432
Grassland,728.4749469
Grassland,774.0348706
Grassland,699.8492802
Grassland,881.3637446
Grassland,673.6482372
Grassland,931.0126642
2yo_plantation,522.8435612
2yo_plantation,577.5306517
2yo_plantation,868.4748448
2yo_plantation,893.1434789
2yo_plantation,991.7651717
2yo_plantation,604.9303565
2yo_plantation,807.1839794
2yo_plantation,692.1386449
2yo_plantation,630.111317
2yo_plantation,710.8952288
2yo_plantation,937.8689658
2yo_plantation,1089.050778
2yo_plantation,800.5469702
2yo_plantation,803.6057578
2yo_plantation,887.1921528
2yo_plantation,717.0253499
10yo_plantation,410.8571706
10yo_plantation,704.492488
10yo_plantation,691.7753337
10yo_plantation,803.604209
10yo_plantation,626.4444365
10yo_plantation,804.8408653
10yo_plantation,517.4396678
10yo_plantation,667.4683848
10yo_plantation,651.908013
10yo_plantation,771.3560738
10yo_plantation,750.8128657
10yo_plantation,892.8190017
10yo_plantation,843.3757585
10yo_plantation,903.710496
10yo_plantation,663.1112134
24yo_plantation,601.6093501
24yo_plantation,743.2715002
24yo_plantation,740.1083442
24yo_plantation,568.9489847
24yo_plantation,360.7743088
24yo_plantation,435.9429363
24yo_plantation,781.704099
24yo_plantation,696.6325746
24yo_plantation,727.6683441
24yo_plantation,927.8406426
24yo_plantation,626.3385001
24yo_plantation,1429.950176
24yo_plantation,744.9073774
24yo_plantation,687.2513237
Remnant_forest,645.2642956
Remnant_forest,546.9574446
Remnant_forest,753.3362974
Remnant_forest,1178.438403
Remnant_forest,812.517448
Remnant_forest,714.1734033
Remnant_forest,1320.474357
Remnant_forest,880.1771128
Remnant_forest,487.2831933
Remnant_forest,1448.241864
Remnant_forest,774.9684155
Remnant_forest,697.9298879
Remnant_forest,1722.55051
Remnant_forest,1517.169133
Remnant_forest,468.2553937
